爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
动漫,,3~5年,2千多吧,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门300 精通：1万吗,入门1～2月 精通1年多,,
听ASMR,asmr算是一个小爱好吧，一般在失眠的时候会去听，指的是一些人为的或是非人为的产生的一些使人感觉舒服的声音，也有所谓的白噪声，之类的等等等等,1~3年,暂无开销,这应该没有什么门槛啥的吧哈哈哈哈,,1~3小时,如果要入坑去做ASMR的话首先是要应该好的设备，麦克风是必不可少的（可能1000+）还有各种各样的道具什么的,一到俩星期入门吧，精通感觉得要一到俩个月吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
Vocaloid China  / 数码,Vocaloid China(主vsinger ：成员洛天依、言和、乐正绫、乐正龙牙、徵羽摩柯、墨清弦),3~5年,＜500，不敢花太多,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,＞1000,5年以上,,
囤货,根据游戏内容分析需求，然后在游戏内囤货，低入高抛。,3~5年,2W,自玩,,<1小时,1k,1月,3 - 不高不低,3
live,,3~5年,不记得了大小音乐节和乐队live还有俱乐部live应该有5k-1w,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,去一场live就够了,两周吧,,
水球,这是一个奥运会项目，类似于水中的手球，规则和赛事是很完善的，在欧洲很多国家相当普及，但在国内开展水球运动的场所不多，高校开展的也寥寥。游泳的基数这么大，水球其实受场地限制没有很大，普通游泳池即可，花费也不多，难点在于对体力和技战术水平要求高，需要团队训练，业余组织不多，国内了解也较少。,3~5年,千元级别,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10000，钱不是主要因素，组织和场地很重要,3-5年,3 - 不高不低,3
手冲咖啡,不怎么算小众,1~3年,500,萌新入门阶段，还在摸索学习,1,<1小时,不了解,不了解,3 - 不高不低,3
定向越野,借助地图、指北针或其他导航工具，在一个设定的范围内，通过途中的各种障碍，快速到达各个目标点位，并且完成各个点位任务，最后到达终点,>10年,30000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0（会跑就行），精通：1000（适合跑步的服装鞋子，指北针）,入门：1-5小时，精通：10-40小时,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
花样滑冰,,<1年,6000+,萌新入门阶段，还在摸索学习,1,<1小时,入门：一万左右  精通：可能十几万？（看你报课 比如一对一学就贵 一对多就便宜）,一周冰时20h左右,4,4
asmr,一些触发音或者说话的小剧场,<1年,100,萌新入门阶段，还在摸索学习,1,<1小时,入门：不花钱 精通：看个人想不想打赏（？）,入门：一分钟 精通：没啥精不精通,2,2
假面骑士手办,,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,无底洞,也是无底洞,,
bjd娃娃,,1~3年,4000,萌新入门阶段，还在摸索学习,1,<1小时,入门2000，精通40000以上,入门一两月，精通一年,2,2
骑行,,5~10年,3000,萌新入门阶段，还在摸索学习,1,<1小时,入门就普通学生单车400，精通30000吧,10年,5 - 广为人知，老少咸宜的全民爱好,5
路亚钓鱼，摩旅,用假饵钓鱼，骑摩托,<1年,路亚刚入坑5-600，摩托入坑一年了花费应该也有4-5万左右,萌新入门阶段，还在摸索学习,1,1~3小时,路亚精通起码要花费上万，摩托车不限制,路亚起码1-2年,3 - 不高不低,3
逛公园散步,就是看各种公园，散步逛圈,<1年,100,萌新入门阶段，还在摸索学习,1,<1小时,0,365,5 - 广为人知，老少咸宜的全民爱好,5
同人约稿,确定喜欢的人物或情节，找到心仪的太太，约稿,1~3年,3000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,500；大于等于3000,1天（圈子不一样的话，不一定）；3个月,3 - 不高不低,3
爬山,,<1年,6000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000-9999+,"0基础入门，只要喜欢就行，精通也许3
年-7年（经常出去爬山的）",2,2
收集游戏机和配件,,5~10年,100000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,只买流通的主机和配件几万就可以，中古品价钱不好说,游戏圈时间没有尽头,,
分析美女或者美男脸美在哪,,5~10年,500？,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10000,半年，5年,无须作答,
跑步,就是简单的字面意思,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,一周,5 - 广为人知，老少咸宜的全民爱好,5
羽毛球,,3~5年,5K+,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,3k,入门：一个月，精通：5年,4,4
棉花娃娃,"我真不确定这算不算小众，我看网上挺多的但现实里真的好少qaq我身边没有一个人玩。
就是棉花填充的娃娃，我会给ta买各种衣服，腮红，装饰品，然后去拍照，rua（动词）ta",1~3年,大概也有三四千多了吧,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,娃娃一般六十左右一个，娃衣一件衣服/饰品大概十块到二十块不等,需要先去了解，然后入手，一个娃娃制作周期大概两三个月左右，所以基本上入娃坑也就两个月左右就可以了（当然也可以买现货）,3 - 不高不低,3
手鞠球,用彩色丝线缠绕形成几何图形，缠绕成球,<1年,200,萌新入门阶段，还在摸索学习,1,<1小时,入门100 精通2000,入门1周 精通2年,,
搞h算不算😭,up主看到千万别拉黑我，我真的是你粉丝，本人女，爱好搞黄，海棠收藏夹早早就满了，浏览器专门单列一个收藏夹，也有上百了，还有一堆簧文压缩包，网盘一堆片子，关注搞h的博主一堆，xp海纳百川，除了性转和文笔差不行，基本都可以,5~10年,今年开始每个月买梯子，也不贵，主要是海棠花的多，肉价贵，充100就是26.5元，我看个一两个晚上就可以用完,这个要算等级的话，只能看你看的量吧，但是看的多也不是什么好事啊，看的越多口味越挑剔，带来的新鲜感越少，最多是我有很多资源可以分享而已,,<1小时,呵呵，这是可以说的吗，买梯子，便宜的每个月只要5元，最贵的海棠买文，肉价真贵,基本每天都看吧，看的内容不一样而已，3～4小时,5 - 广为人知，老少咸宜的全民爱好,5
咖啡（手冲咖啡为主）,,<1年,1600左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,300左右（仅器械）,半个月左右-不清楚,2,2
电竞,这里的电竞并不是打游戏，而是追电竞圈,1~3年,100,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,"1s
无穷(电竞行业更替非常快，所以你需要不停地了解)",,
描写他人生活，给别人写日记,"小时候，站在大街上，看到一个牵着狗买菜的老奶奶，会想她为什么牵狗买菜呢？她的生活会有什么故事呢？当场记录下来，然后回家写成一个小故事。
后来长大了，有些朋友有了对象，在朋友允许的情况下纪录Ta们的历程。
订婚了，就做成合订本送给朋友；分手了，拉着朋友把本子烧了。
但是同时，我会以Ta们的事件为原型写故事。",>10年,几千吧，主要在于买本子，不仅仅是烧掉，如果写的不如意我还会撕书（物理）。,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10元，当你为了写故事专门去买纸、笔时，就已经精通了,1周，大概一周就会形成思维惯性了,3 - 不高不低,3
日本麻将,麻将应该大家都挺了解，我也不多赘述了,1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0—80000,1年,4,4
阅读（网文，轻小说）,,5~10年,5000（包括自学语言的花销）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门 100左右 精通 无上限,入门一个月 精通4年,无须作答,
看展,,3~5年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,100，10000,2小时，1年,3 - 不高不低,3
说唱,,<1年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0   精通：10000,入门1月 精通2年,,
拼豆,,<1年,200,萌新入门阶段，还在摸索学习,1,<1小时,200 上千,个人认为拼豆精通主要靠创意，无法量化这种时间,,
吹泡泡,测试各种用洗发水沐浴露吹泡泡,5~10年,不超过500（买洗发水能花多少钱,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"入门:基本不需要成本，因为大家家里都有洗发水（笑
精通:可能要买一屋子洗发水",每次洗澡多洗十分钟,2,2
收藏棉花娃娃,,1~3年,4000,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,1000,一个月以上,,
摄影,,1~3年,10000,萌新入门阶段，还在摸索学习,1,<1小时,30000,1年,5 - 广为人知，老少咸宜的全民爱好,5
收集GALGAME,按发售日期，会社收集整理GALGAME,>10年,没统计,资深玩家，在圈里小有名气，各种玩法都试过,3,>6小时,看收集的数量,2-3年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
编程：主要语言Java后端,,3~5年,2万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,终身,3 - 不高不低,3
摄影,非器材党，M43主力,>10年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10000,1年,5 - 广为人知，老少咸宜的全民爱好,5
竞技麻将,包括国标麻将和立直麻将,>10年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,入门一周 精通几十年,3 - 不高不低,3
古钱币收藏,中国历朝历代铜钱,1~3年,30000元,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,10000元起,1年以上,2,2
beatbox,用嘴巴模仿一些声音进行编曲,1~3年,200-400,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门不需要钱精通1000以上,入门一周到一个月精通三四年以上,2,2
钓鱼,钓鱼，大家都知道的,<1年,1000以内,萌新入门阶段，还在摸索学习,1,<1小时,500，种类繁多上不封顶,3-5年,,
bjd,玩球形关节人偶的人，不是养小鬼,3~5年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,50000,2年,,
跳舞机竞速,其实就是用脚玩的音乐游戏,>10年,大概一两千，不好说，时间太长远，每个跳舞机的一局的价格都不太一样，不好统计,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,感觉不是金钱的问题Orz,长期，没有上限,3 - 不高不低,3
打游戏,,>10年,10000-15000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0-♾️,一辈子,5 - 广为人知，老少咸宜的全民爱好,5
萨克斯,,>10年,80000,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,30000,3年,,
如何睡个好觉,不同的床单，被棉，枕头还有地点真的对睡眠质量有很大的影响，可以体验不同的环境和方式来选出最适合自己的那种（★＞U＜★）,1~3年,2000,萌新入门阶段，还在摸索学习,1,>6小时,每个人对环境的感觉都是不同的，这个不太能确定的说出一个数，有人可能不太建议这些,因为习惯的不同，每个人对舒服的定义也是不一样，最多大概一两年,,
看耽美小说,,5~10年,500-1000元,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不了解,不了解,,
航拍,,1~3年,7500～8000,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,"入门：3000（一台mini2吧大概）
精通：18000以上","入门：3天～7天
精通：2个月",3 - 不高不低,3
音游,伴随音乐节奏与设备交互,3~5年,1500+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0~5000+,入门6个月到一年，精通三年以上,,
客制化键盘,很多人说花几千上万买把键盘是纯纯的智商税，但是客制化键盘追求的是更加个性的表现，能和量产区分开的做工和设计，以及好的套件远远超过量产键盘的质感。,1~3年,1.5万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：800-2000 精通：2000到无限（直到退坑）,时间投入不大，组装一把键盘在大约两小时左右，主要的时间消耗在“等”，大部分套件是期货，一等就一个季度到两三年不等,无须作答,
MAD  动漫二创,,1~3年,0,萌新入门阶段，还在摸索学习,1,1~3小时,0,不确定，但时间较长,,
史莱姆,解压,<1年,500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,可以是0，可以是几千,看几个小时视频就可以了,,
喝咖啡,,3~5年,1w➕,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门30元 精通2w,入门两三天 精通一个月,4,4
用橡皮刻章（二次元为主）,玩的人不是很多，因为对手工有要求,3~5年,500（因为玩了两三年就弃了，材料还在家里放着，但没时间碰,萌新入门阶段，还在摸索学习,1,<1小时,5000,3--5年,2,2
布艺装饰画,在KT板上用美工刀塞入各种纹样的布料组成的画面形式,>10年,500r左右（布料花费）,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门50r（可以用自家的废旧衣服，kt版和复写纸需要购买）-精通200+（对纹样有讲究的话可以买更贵的布料）,入门10分钟，精通1周,2,2
漂移板,这是个小众的爱好，我之前还去参加了滑板爱好者组织的活动，当时就只看到了我和另外一个爱好者在玩，其他都是正常的滑板和长板,5~10年,500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,不用多少，只要买个好一点的坚持玩就好了,两三年吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
Vocaloid圈,V家，本身是一款电子歌声合成软件，2007年8月31日初音未来的音源发售，反响火爆，引出许多才华横溢的音乐人使用vocaloid，一直延续至今,3~5年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不用多少，如果不买周边的话,"如果是听众（圈内称术术人，我就是），多听一些v家曲，了解一些p主（使用vocaloid的音乐人），就能和同好有话题可聊了；
如果是想用vocaloid作曲的潜在p主，本身如果有乐理知识或是科班出身，学vocaloid这个软件调音就行了（大概是这样，毕竟我没有乐理知识，捣鼓过一阵子这软件也没搞明白）",3 - 不高不低,3
收音机,电子管，晶体管，集成电路收音机,>10年,一万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门几百，精通几万到几十万都有可能,入门一分钟（买个收音机），精通最起码十年以上,2,2
收集电影票和👀看电影,去影院看电影是很大众的乐趣，但是把电影票收集下来能保存许多回忆，当你在看到票的时候会想到当时的喜怒哀乐。,3~5年,5000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,40块。  好多,2小时。   好久,3 - 不高不低,3
足球,我国，骂的人比参与的多。,>10年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,5000,至少3年,,
音乐,,3~5年,1000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,20w+,三年起步哈哈,,
养仓鼠,也不算什么技术含量的爱好吧！希望能够通过这个平台，让更多人了解那些“花鸟市场十块钱小动物”的真实背景知识这样（小目标. jpg）,1~3年,500左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,鼠＋全套用品满足正常需求情况下，穷养200即可，后续消耗品费用每月20-50左右,入门4小时读个仓鼠吧养鼠手册即可，之后就是零散看一些B站的科普视频等，边养边看，一两个月也足够了,2,2
hifi耳机,,1~3年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000000,五到十年,3 - 不高不低,3
逛古玩市场,喜欢到一个新的地方去逛古玩市场，不一定买但是但是的确能让人感觉到是一个武侠里的江湖,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10000万,10年估计不够,5 - 广为人知，老少咸宜的全民爱好,5
动漫,,5~10年,200左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,这个爱好不怎么花钱，非要花钱的话就是买周边手办之类的，这个上下限差太多，不好分入门和精通,入门：一个月  精通:5年左右,无须作答,
写歌,从0开始做一首歌，作曲编曲作词混音母带等,3~5年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,100000,十年,4,4
花切,纸牌花式艺术，是扑克牌魔术的变种,<1年,100,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,0 0,一个月 一年以上,,
bjd（主要是做娃衣）,,5~10年,10w+,资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,500/+∞,一个月/半年,,
桌游,这里指的是除开狼人杀这类聊天扯皮的聊天游戏,3~5年,500左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门0，精通1000,200/年,3 - 不高不低,3
网文,,>10年,5w,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,不好说,3年,3 - 不高不低,3
养猫猫呀,不算小众,5~10年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0~+∞,0~+∞,5 - 广为人知，老少咸宜的全民爱好,5
老手机收藏,因为我是一个ui设计师，手机发烧友和工业设计爱好者,5~10年,6000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,5000,5年,4,4
kaco笔的收藏,kaco是一家国内做笔的设计公司,1~3年,300,硬核大佬，这个领域基本玩到头了,4,<1小时,200,半年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
俄罗斯方块,,3~5年,100,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,不用太多，大多靠手,起码每天需要一个完整的时间,3 - 不高不低,3
羽毛球,羽毛球打打打,1~3年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,200块钱买个拍子,几个月,5 - 广为人知，老少咸宜的全民爱好,5
收集身边人的信息（不包含敏感信息）,算是一种奇怪的癖好,5~10年,0,选项 5,,1~3小时,0,上不封顶,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
骑行(山地3:7公路),,3~5年,25000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：一辆过得去的自行车大概1000 精通：一般2-5万，无上限取决于自行车价格,入门：会骑车 精通：最快一个夏天一般一年起,5 - 广为人知，老少咸宜的全民爱好,5
拼图🧩,,<1年,500,萌新入门阶段，还在摸索学习,1,<1小时,入门：0；精通：0,入门：0；精通：3年？,,
炉石传说,,3~5年,3,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,488,半年,2,2
吉他钢琴编曲音乐摄影影视,还好 ,3~5年,10w+,属于同阶段同龄人里比较优秀的 但是和真正的大佬比差远了,,3~6小时,看个人吧 但是最起码也要个10w以上,数年,3 - 不高不低,3
我的世界生存红石,用我的世界的各种方块和特性在游戏中实现各种道具的量产或把游戏中复杂的操作简单化,1~3年,一台性能较好的电脑加游戏本体：7k,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,一台性能非常好的电脑：1w-2w,2年-5年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
买衣服,,5~10年,5w以上,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不知道,不知道,,
人类观察（不知道算不算爱好）,观察某个人（随便什么人，亲人，友人，陌生人），观察他们的小动作，微表情，以此判断对方的性格啊，习惯什么的（当然是在合法范围内观察）,3~5年,0r,根本没有遇到过同好，并不确定,,1~3小时,不确定,不确定，大概时间越长越好吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
手卷烟,用纸把烟丝卷起来，烟丝的质量口感比较好，有很多选择,<1年,几百块,萌新入门阶段，还在摸索学习,1,3~6小时,入门的话几十块钱的一盒烟丝和几十块钱的卷烟工具就可以，精通嘛，无止境,一周,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
音游,根据节奏打歌ww,1~3年,500,萌新入门阶段，还在摸索学习,1,<1小时,不太清楚,2年以上吧,,
台钓,,1~3年,大概1万？,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门可能三五百，精通的话得要个小十万吧,根据个人的悟性，大概也要5-10年,4,4
手帐拼贴,,3~5年,5000块,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：200块，精通：5万上下,入门：1-2月，精通：2-3年,3 - 不高不低,3
键盘,喜欢体验不一样的键盘,5~10年,1000元,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,300元,1天,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
鉴定珠宝,见过很多珠宝，还会被长辈让帮忙鉴定,3~5年,5w,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门5000到大几十万,1个月，3年以上,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
吉他指弹,,1~3年,2500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10000,5年,,
机车,,1~3年,十万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门3万起步，平均每年2万左右，上不封顶,投入时间很自由,4,4
RC遥控车,RC遥控车与普通遥控车最大的区别有几点，一，价格相比于普通的会贵很多；二，普遍都是需要自己组装的，当然有卖现成的，但正是因为这个，它比普通遥控车会需要有更多的操作，比如维护，更换配件，当然，耗材也不便宜；三，它的性能和操控性是普通遥控车无法比拟的（网上搜到的资料来看，可以在1.6秒内从静止加速到100km/h，然后它的转向的大小都是可以控制的）四，如果是比较专业的遥控车的话，所用的材料也会比较高级比如碳纤维，钛合金等,1~3年,50000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门门槛挺低的，1000以内能玩，但如果要玩专业的话，估计仅仅是设备就至少要30000,入门还挺轻松的，只要会玩普通遥控车就行，精通就不清楚了，我曾在没专业基础的情况下和一个教练练过一个月，然后参加了全国比赛拿了三等奖，如果要精通的话，或许至少要玩2年以上吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
客制化键盘,追求不同轴体的手感 不同敲击的声音 好看的键盘套件、键帽,1~3年,3k,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,400，2k,12h 50h,无须作答,
羽毛球,,<1年,1070,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,"入门买个一般入门拍两百左右的羽毛球拍，一周最少三次，每次最短3-5小时，羽毛球的话一个月两桶，按咱学生党来说50左右到10左右的球，还有有一双入门的羽毛球鞋，推荐200左右的，就是400左右到装备，加每个月额外100左右的羽毛球的费用。
还没精通，但高手对拍子和球还有的要求比较敏感，初略估计每个月球500左右。","入门我认为是每周3-4次，每次3-5小时。半年左右可以入门。
精通我认为是每周5-6次 每次7-9小时。但是不知道多久可以精通。",5 - 广为人知，老少咸宜的全民爱好,5
滑板,,1~3年,2500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"入门滑板：买一个全国产专业版套装大概300-500
精通滑板：滑板水平与滑板本身并没多大关系，用全国产的滑板也能练出很多招 主要是看个人的努力程度和天赋 如果要换成进口更专业的版面和配件 大概价格会在800-1500左右，如果你是个图一乐爱好者，所有的装备都要求最好的算下来一套也可以配到1w左右 用进口的碳纤维版面 纯钛的桥 陶瓷轴和更专业的轮子",入门：一周 入门其实只需掌握最基础的一些滑行技能和网上所说的一些“板混”招，最主要的是能控好板 精通：1-3年 去做各种各样的招 成招的速度得看每个人的天赋很努力程度 然后去挑战各种地形,3 - 不高不低,3
网球🎾,,1~3年,4000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,140万,15年,5 - 广为人知，老少咸宜的全民爱好,5
看耽美小说 。 嗜好吧  啊哈哈哈,就是耽美小说，不算小众吧。哈哈哈哈哈,3~5年,500,顺畅切换各大网站。,,3~6小时,比起金钱，这个嗜好花费时间更多。不过大学生就是时间多。哈哈哈哈哈哈哈,一入腐门深似海，从此节操是路人。,3 - 不高不低,3
同人曲的翻唱填词,"不是很小众但还是解释一下！！！就是业余或专业的个人（我是业余的！）或同人社团所制作的音乐制品，如歌曲唱片、歌曲音像档案，为同人文化的产物。主要在同人志贩售会或相关店家公开、贩售。

举个例子:我很喜欢《庆余年》这部作品或是这部作品角色范闲，那我可以根据自己看完作品后对范闲这个角色的看法等来写一首歌，比如《全剧都是我爹》之类……",<1年,100以内吧，我是个填词的菜菜，一般不用出钱，偶尔翻唱的话会和同一组里的好兄弟们一起AA后期的钱🤔🤔,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"得看职位，比如你是这个曲的策划，那也许要多a一点钱，如果你是填词翻唱之类的职务就完全不用花钱,如果你是曲绘剪辑之类的话，你甚至可以收钱。价格的话得看个人，但普遍在50以内，如果你追求质量比较好的话，其实一百以内也够了。",入门的话其实就只需要几天熟悉一下流程就可以了，精通的话其实也无需很久，这个爱好不太好讨论入门和精通诶🙃🙃，，，，，,2,2
买鞋,,5~10年,100000元,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0元,1个月,3 - 不高不低,3
手账,其实在我看来并不算小众啦,<1年,200左右,萌新入门阶段，还在摸索学习,1,<1小时,1000左右吧,每天1-2h,4,4
长笛,乐器演奏,<1年,5000,萌新入门阶段，还在摸索学习,1,<1小时,5w？,2-3年,3 - 不高不低,3
篮球,,5~10年,2000左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,100,一年,,
写日记,普通的记录下每天发生的事情,3~5年,100左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,不知道,越长越好,5 - 广为人知，老少咸宜的全民爱好,5
日记,,5~10年,100,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,不需要花多少钱,我觉得六个月算入门，三年算精通,4,4
逛b站,,1~3年,100,萌新入门阶段，还在摸索学习,1,1~3小时,♾ 时间就是金钱,1小时以内,5 - 广为人知，老少咸宜的全民爱好,5
收藏欧美黑胶唱片,买歌手的好看的黑胶唱片,<1年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门的话1000就够了，精通无上限吧,这东西无需太久，毕竟类似听音乐，入门可能一周，精通可能几年吧,3 - 不高不低,3
收集《第九艺术》（创意点子）,"可能我这个也不能算一种爱好吧，就是平时刷手机看到我就会收藏一下。我不知道对于“第九艺术”的正确定义是什么样的，但是我个人认为，第九艺术就是除了传统的八种艺术的新艺术形式。
或者是说我喜欢去收集里面创意的点子（因为一般来说艺术代表创造、创新嘛），就是在你玩完这个游戏或者看完这个视频的时候你会惊叹一句“好妙啊！”的那种。
比如说大家最常见的第九艺术形式就是游戏，不是一些大家都知道的游戏，是比较小众的比如嗯有一个游戏类别应该是叫元游戏metagame（不知道叫法正不正确毕竟我也是萌新另外我也没有玩过很多游戏只是基于自己的了解来说一下꒦ິ^꒦ິ求生欲拉满），就是那种打破第四堵墙和观众交流的游戏。简单来说就是你会感觉游戏在玩你，或者有些是游戏主角知道自己是游戏这样子。这里不多说了毕竟我没有很了解，举两个具体例子就是前两个月刚发售的《邪恶冥刻》以及这个作者的其他作品，还有一个就是《undertale》。
除开元游戏这种类别，一些其他的有创意的点子我觉得也能被称为第九艺术，比如我个人非常喜欢的《湖边小屋》系列（可以去看看第一个关卡的实况或者自己去试试看，说多了我怕剧透），以及还有一些故事上特别有意思的，还有玩法特别新颖的我认为也是，还有一些画风特别好特别新颖其他方面不拉胯我的认为也算。那我同样也举两个例子吧。《伊迪芬奇的秘密》《看火人》《house》《outer wilds》
除了游戏我认为另外一种第九艺术大类形式就是视频。举个例子就是有两个视频系列《曼德拉记录》《Local 58》这两个都是恐怖视频创作，虽然电影电视剧也是“视频”但是它又不同于电影电视剧那样连续地讲述一个故事，而是用一种新的手法来表达一些东西。所以我认为也是一种创新。还有一些其他的比如我认为一些玩梗鬼畜视频也很有意思🤔这里贴个bv号BV1Jv41147N5 我觉得这个视频就本有意思（😂 找不出别的形容词了） 还有一些比如我记得之前b站有个视频，它的评论区是完全相反的，标题好像叫《全b站最对立的评论区》（刚刚去看了一下经过一段时间好像并没有那么的相反了，有些顺序被打乱了😂 ）这种应该已经不能算单纯的视频艺术了，感觉叫网络艺术比较合适🤔
除了游戏和视频，还有就是刚刚提到的网络艺术（？） 比如就像之前说的利用评论区做成的也算是一个艺术品吧。还有一些其他新型艺术形式。
此外我还认为一些网友玩的梗也特别有趣😂有时候真的很好笑，最常见的就是利用一些谐音和成语中间打空格发在弹幕上。（高手在民间了属于是）有时候看到特别有意思的会记在备忘录里。
还有一个我认为非常有趣的emoji艺术（可能只有我这么叫他）最常见的就是用emoji表情🔒 🌸 【说话】，第一次见真的感觉很好玩！（当然现在见多了就觉得平平无奇了）或者是用emoji来创造一些别的作品。
总而言之就是那种让人感觉很有趣、特别有灵魂、让人灵光一现的那种又不是传统八大艺术的东西都是吧，我个人是这样认为的。
ps.我认为拉克丝的选题也特别有趣。我认为最让人眼前一亮的就是这一期视频还有之前不限形式的作品征集还有图一乐系列，还有对我来说很有用的网站推荐（个人认为其中有一些网站也能被称为艺术品）。",<1年,约等于0 有时候可能会买一些游戏玩吧，但是主要还是收集里面的点子,萌新入门阶段，还在摸索学习,1,<1小时,不知道😂 ,🤔 这个也不好说呢,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
